"","endTime","artistName","trackName","msPlayed"
"370","2019-08-17 18:41","Twenty One Pilots","Chlorine",324466
"372","2019-08-17 21:52","Ed Sheeran","I See Fire - From ""The Hobbit - The Desolation Of Smaug""",300840
"373","2019-08-17 21:55","Sandro Cavazza","Enemy",212188
"374","2019-08-17 21:59","Martin Garrix","No Sleep (feat. Bonn)",207094
"375","2019-08-17 22:02","Why Don't We","Unbelievable",189384
"376","2019-08-17 22:05","Lauv","i'm so tired...",162582
"377","2019-08-17 22:08","Justin Bieber","Love Yourself",233720
"378","2019-08-17 22:11","OneRepublic","Rescue Me",158899
"380","2019-08-17 22:12","Mathea","Chaos",52347
"381","2019-08-17 22:16","Ed Sheeran","Shape of You - Acoustic",221913
"382","2019-08-17 22:19","Mumford & Sons","I Will Wait",166533
"383","2019-08-19 08:23","Olli Schulz","Phase",145774
"384","2019-08-24 19:26","Dune","Hardcore Vibes",118283
"385","2019-08-24 19:29","Scooter","Hyper Hyper",210200
"388","2019-09-01 08:53","Markus Becker","Helikopter",193986
"389","2019-09-01 08:54","Harris & Ford","Wir brauchen Stimmung - Radio Edit",69802
"390","2019-09-01 08:56","DJ Düse","Hubschraubereinsatz",12004
"391","2019-09-01 08:56","Tobee","Blau wie das Meer - Bierkönig Version",125573
"392","2019-09-01 08:57","Jürgen Drews","Kornblumen - Single Version",34411
"393","2019-09-01 09:00","Jürgen Drews","Ein Bett Im Kornfeld",179773
"394","2019-09-01 09:03","257ers","Holz",188640
"395","2019-09-01 09:06","Die Atzen","Das geht ab (Wir feiern die ganze Nacht)",209240
"396","2019-09-01 09:07","257ers","Holland",28628
"397","2019-09-01 09:09","Henry Valentino","Im Wagen vor mir",22987
"398","2019-09-01 09:09","Partygang","Sieben Sünden",113011
"400","2019-09-01 09:44","Tones and I","Dance Monkey",209438
"401","2019-09-01 09:44","Hayden James","Just Friends",26702
"402","2019-09-01 09:48","Malik Harris","Say The Name",209494
"403","2019-09-01 09:51","Dominic Fike","3 Nights",177666
"404","2019-09-01 09:51","Sophie and the Giants","Waste My Air",27800
"405","2019-09-01 09:52","Dennis Lloyd","Nevermind",20108
"406","2019-09-01 09:55","ItaloBrothers","Summer Air",183587
"407","2019-09-01 09:56","Naaz","Up To Something",84590
"408","2019-09-01 09:59","Left Boy","Get It Right",203146
"409","2019-09-01 10:02","Deichkind","Porzellan und Elefanten",141192
"410","2019-09-01 10:05","Miwata","Nie mehr weg",23034
"411","2019-09-01 10:05","Dennis Lloyd","Never Go Back",175424
"412","2019-09-01 18:06","Miley Cyrus","Slide Away",233654
"415","2019-09-01 18:11","SDP","Ne Leiche",256417
"416","2019-09-01 18:14","Kris Kross Amsterdam","Whenever (feat. Conor Maynard)",163636
"417","2019-09-01 18:18","Bastille","Quarter Past Midnight",201799
"418","2019-09-01 18:21","Jubël","Dancing in the Moonlight",164009
"419","2019-09-01 18:25","Alice Merton","Why so Serious",227266
"420","2019-09-01 18:28","Jonas Brothers","Sucker",181040
"421","2019-09-01 18:31","Zedd","Happy Now",207029
"422","2019-09-01 18:35","Galantis","Bones (feat. OneRepublic)",205792
"423","2019-09-01 18:37","David Guetta","Let It Be Me (feat. Ava Max)",172933
"424","2019-09-01 18:41","Seeb","Grip",198074
"425","2019-09-01 18:44","Jonas Blue","Polaroid",193377
"426","2019-09-01 18:47","Martin Garrix","Dreamer",193399
"427","2019-09-01 18:51","Martin Garrix","High On Life (feat. Bonn)",230761
"428","2019-09-01 18:54","Alle Farben","H.O.L.Y.",175440
"429","2019-09-01 18:57","Jesper Jenset","Bad Vibrations",199379
"430","2019-09-01 19:00","Vigiland","Be Your Friend<U+202C><U+202C>",180820
"431","2019-09-01 19:04","Ed Sheeran","Beautiful People (feat. Khalid)",197866
"432","2019-09-01 19:07","George Ezra","Paradise",222044
"433","2019-09-01 19:11","Jonas Blue","What I Like About You (feat. Theresa Rex)",220396
"434","2019-09-01 19:15","Vance Joy","Riptide",204280
"435","2019-09-01 19:18","NOTD","So Close",190302
"436","2019-09-01 19:21","GAMPER & DADONI","Bittersweet Symphony (feat. Emily Roberts)",194618
"437","2019-09-01 19:24","Kris Kross Amsterdam","Ooh Girl (feat. A Boogie Wit da Hoodie)",168200
"438","2019-09-01 19:27","Rudimental","Walk Alone",205408
"439","2019-09-01 19:30","Deepend","Only Love",172222
"440","2019-09-01 19:33","OneRepublic","Rescue Me",158899
"441","2019-09-01 19:36","Felix Jaehn","Love On Myself",169248
"442","2019-09-01 19:39","Avicii","Without You (feat. Sandro Cavazza)",181672
"443","2019-09-01 19:41","Mabel","Mad Love",169813
"444","2019-09-01 19:45","Tones and I","Dance Monkey",209438
"445","2019-09-01 19:48","John De Sohn","Happy Kids",177209
"446","2019-09-01 20:04","Ellie Goulding","Sixteen",201072
"447","2019-09-01 20:06","Sia","No New Friends (feat. Sia, Diplo, and Labrinth)",119056
"448","2019-09-02 05:23","Sia","No New Friends (feat. Sia, Diplo, and Labrinth)",56772
"449","2019-09-02 05:26","Kygo","Happy Now",211362
"450","2019-09-02 05:29","Tiësto","Ritual",198995
"451","2019-09-02 05:33","Robin Schulz","Speechless (feat. Erika Sirola)",214941
"452","2019-09-02 05:36","Ava Max","So Am I",183026
"453","2019-09-02 05:39","XO Cupid","True Colors (feat. Maya Avedis)",184019
"454","2019-09-02 05:41","Sigala","Somebody",98381
"456","2019-09-06 14:38","Hozier","Almost (Sweet Music)",197376
"457","2019-09-10 10:00","OneRepublic","Rescue Me",158899
"458","2019-09-10 10:03","Martin Garrix","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",163804
"459","2019-09-10 10:06","Dominic Fike","3 Nights",177666
"460","2019-09-10 10:09","VIZE","Glad You Came",198095
"461","2019-09-10 10:13","Robin Schulz","Speechless (feat. Erika Sirola)",214941
"462","2019-09-10 10:16","Galantis","Bones (feat. OneRepublic)",205792
"463","2019-09-10 10:20","Jonas Blue","What I Like About You (feat. Theresa Rex)",220396
"464","2019-09-10 10:23","Seeb","Grip",198074
"465","2019-09-10 10:26","Alle Farben","H.O.L.Y.",175440
"466","2019-09-10 10:29","Vigiland","Be Your Friend<U+202C><U+202C>",180820
"467","2019-09-10 10:33","Ellie Goulding","Sixteen",201072
"468","2019-09-10 10:36","Panic! At The Disco","High Hopes",190946
"469","2019-09-10 10:39","Kygo","Happy Now",211362
"470","2019-09-10 10:43","Bastille","Quarter Past Midnight",201799
"471","2019-09-10 10:46","GAMPER & DADONI","Bittersweet Symphony (feat. Emily Roberts)",194618
"472","2019-09-10 10:49","NOTD","So Close",190302
"473","2019-09-10 10:52","Why Don't We","I Don't Belong In This Club",137422
"474","2019-09-10 10:55","Rudimental","Walk Alone",205408
"475","2019-09-10 10:57","Jubël","Dancing in the Moonlight",105703
"476","2019-09-10 10:59","Kris Kross Amsterdam","Whenever (feat. Conor Maynard)",163636
"477","2019-09-10 11:03","Ava Max","Sweet but Psycho",187436
"478","2019-09-10 11:06","Alice Merton","Why so Serious",227266
"479","2019-09-10 11:09","Loud Luxury","Body",163216
"480","2019-09-10 11:12","David Guetta","Let It Be Me (feat. Ava Max)",172933
"481","2019-09-10 11:15","Tones and I","Dance Monkey",209438
"482","2019-09-10 11:19","Martin Garrix","High On Life (feat. Bonn)",230761
"483","2019-09-10 11:22","Mabel","Don't Call Me Up",178480
"484","2019-09-10 11:26","Jonas Blue","Polaroid",193377
"485","2019-09-10 11:28","VAX","Crime",153930
